REF_AREA,Geographic area,INDICATOR,Indicator,UNIT_MULTIPLIER,Unit multiplier,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_FOOTNOTE,DATA_SOURCE,OBS_STATUS,Observation Status
DZA,Algeria,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.5,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
AGO,Angola,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.3,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BEN,Benin,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BWA,Botswana,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BFA,Burkina Faso,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.7,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
BDI,Burundi,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CMR,Cameroon,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.9,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CAF,Central African Republic,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 2.5,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
TCD,Chad,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 7.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
COG,Congo,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 3.6,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
CIV,Côte d'Ivoire,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
COD,Democratic Republic of the Congo,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 3.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
DJI,Djibouti,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 3.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
EGY,Egypt,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.2,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GNQ,Equatorial Guinea,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ERI,Eritrea,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
SWZ,Eswatini,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
ETH,Ethiopia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GAB,Gabon,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GMB,Gambia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 2.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GHA,Ghana,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 7.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GIN,Guinea,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 4.1,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
GNB,Guinea-Bissau,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low,Value: 0.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
KEN,Kenya,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 8.4,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
LSO,Lesotho,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 9.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
LBR,Liberia,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Low-Medium,Value: 2.5,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
LBY,Libya,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 7.3,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
MDG,Madagascar,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Medium-High,Value: 5.1,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
MWI,Malawi,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 5.8,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
MLI,Mali,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.9,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
MRT,Mauritania,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,High,Value: 6.3,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
MAR,Morocco,CCRI_WATER_SCARCITY,Water scarcity,,,IDX,Index,2020,Extremely High,Value: 10.0,"World Resources Institute (WRI) Aqueduct 3.0, UNEP/GRID-Europe, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects - World Resources Institute (WRI) Aqueduct 3.0, UNEP, CIESIN | Gridded Population of the World (UN-Adjusted), UN World Population Prospects",,
